Config, Result
raidz/write/6disk2vdevUneven/bestcase,209.000
raidz/write/6disk2vdevUneven/generaluse,123.833
raidz/write/6disk2vdevUneven/worstcase,79.150
raidz/write/6disk3vdev/bestcase,205.666
raidz/write/6disk3vdev/generaluse,124.500
raidz/write/6disk3vdev/worstcase,79.633
raidz/rw/2/bestcase Read,83.750
raidz/rw/2/bestcase Write,84.666
raidz/rw/2/generaluse Read,32.916
raidz/rw/2/generaluse Write,33.083
raidz/rw/2/worstcase Read,39.983
raidz/rw/2/worstcase Write,39.916
raidz/rw/3/bestcase Read,109.833
raidz/rw/3/bestcase Write,110.500
raidz/rw/3/generaluse Read,51.216
raidz/rw/3/generaluse Write,51.450
raidz/rw/3/worstcase Read,43.833
raidz/rw/3/worstcase Write,43.783
raidz/rw/4/bestcase Read,121.000
raidz/rw/4/bestcase Write,121.666
raidz/rw/4/generaluse Read,60.900
raidz/rw/4/generaluse Write,61.350
raidz/rw/4/worstcase Read,44.850
raidz/rw/4/worstcase Write,44.816
raidz/rw/5/bestcase Read,137.000
raidz/rw/5/bestcase Write,137.333
raidz/rw/5/generaluse Read,75.283
raidz/rw/5/generaluse Write,76.000
raidz/rw/5/worstcase Read,46.666
raidz/rw/5/worstcase Write,46.583
raidz/rw/6/bestcase Read,138.666
raidz/rw/6/bestcase Write,139.333
raidz/rw/6/generaluse Read,76.883
raidz/rw/6/generaluse Write,77.566
raidz/rw/6/worstcase Read,46.066
raidz/rw/6/worstcase Write,46.016
raidz/rw/4disk2vdev/bestcase Read,120.166
raidz/rw/4disk2vdev/bestcase Write,120.666
raidz/rw/4disk2vdev/generaluse Read,62.483
raidz/rw/4disk2vdev/generaluse Write,63.000
raidz/rw/4disk2vdev/worstcase Read,46.983
raidz/rw/4disk2vdev/worstcase Write,46.900
raidz/rw/5disk2vdev/bestcase Read,136.333
raidz/rw/5disk2vdev/bestcase Write,137.000
raidz/rw/5disk2vdev/generaluse Read,73.716
raidz/rw/5disk2vdev/generaluse Write,74.333
raidz/rw/5disk2vdev/worstcase Read,48.233
raidz/rw/5disk2vdev/worstcase Write,48.150
raidz/rw/6disk2vdev/bestcase Read,149.666
raidz/rw/6disk2vdev/bestcase Write,149.666
raidz/rw/6disk2vdev/generaluse Read,82.533
raidz/rw/6disk2vdev/generaluse Write,83.300
raidz/rw/6disk2vdev/worstcase Read,50.366
raidz/rw/6disk2vdev/worstcase Write,50.283
raidz/rw/6disk2vdevUneven/bestcase Read,143.333
raidz/rw/6disk2vdevUneven/bestcase Write,143.333
raidz/rw/6disk2vdevUneven/generaluse Read,77.116
raidz/rw/6disk2vdevUneven/generaluse Write,77.883
raidz/rw/6disk2vdevUneven/worstcase Read,48.600
raidz/rw/6disk2vdevUneven/worstcase Write,48.516
raidz/rw/6disk3vdev/bestcase Read,141.833
raidz/rw/6disk3vdev/bestcase Write,142.000
raidz/rw/6disk3vdev/generaluse Read,84.083
raidz/rw/6disk3vdev/generaluse Write,84.766
raidz/rw/6disk3vdev/worstcase Read,50.866
raidz/rw/6disk3vdev/worstcase Write,50.783
raidz/randread/2/bestcase,53.700
